Date,Weekly_Sales
2010-04-30,1425100.71
2010-05-31,5929938.640000001
2010-06-30,6084081.46
2010-07-31,7244483.04
2010-08-31,6075952.95
2010-09-30,5829793.92
2010-10-31,7150641.75
2010-11-30,6485547.0600000005
2010-12-31,8876953.18
2011-01-31,5480050.97
2011-02-28,6399887.57
2011-03-31,6307375.4799999995
2011-04-30,7689123.6
2011-05-31,6128431.8
2011-06-30,6194971.74
2011-07-31,7227654.3100000005
2011-08-31,6144985.73
2011-09-30,7379542.34
2011-10-31,6072327.75
2011-11-30,6864972.83
2011-12-31,9032594.71
2012-01-31,5723690.52
2012-02-29,6798074.91
2012-03-31,8201997.4
2012-04-30,6511214.82
2012-05-31,6446962.46
2012-06-30,8020582.84
2012-07-31,6233946.67
2012-08-31,7897619.59
2012-09-30,6122381.5200000005
2012-10-31,6245587.29
